Accuracy,Max_Score,Difficulty,Problem status
88.42%,150,5,Unsolved
91.39%,100,5,Unsolved
79.72%,90,5,Unsolved
64.67%,100,5,Unsolved
80.04%,90,5,Unsolved
57.76%,100,5,Unsolved
83.14%,100,4,Unsolved
73.62%,100,5,Unsolved
86.36%,100,5,Unsolved
83.13%,100,5,Unsolved
88.48%,100,5,Unsolved
87.35%,100,5,Unsolved
86.92%,15,1,Unsolved
96.45%,15,1,Unsolved
83.61%,20,1,Unsolved
93.12%,20,1,Unsolved
91.03%,20,1,Unsolved
77.04%,30,1,Unsolved
68.15%,50,2,Unsolved
82.76%,30,1,Unsolved
92.19%,30,1,Unsolved
63.14%,30,1,Unsolved
93.76%,35,1,Unsolved
93.95%,35,2,Unsolved
85.68%,35,2,Unsolved
88.87%,40,1,Unsolved
94.41%,40,1,Unsolved
76.98%,60,4,Unsolved
56.96%,50,4,Unsolved
71.43%,40,2,Unsolved
44.40%,45,4,Unsolved
78.70%,65,4,Unsolved
54.87%,70,4,Unsolved
52.16%,60,3,Unsolved
44.40%,70,4,Unsolved
59.05%,80,3,Unsolved
63.88%,30,4,Unsolved
79.84%,60,2,Unsolved
56.35%,30,2,Unsolved
91.17%,30,2,Unsolved
68.24%,50,2,Unsolved
76.93%,35,2,Unsolved
67.36%,40,2,Unsolved
68.50%,35,2,Unsolved
50.71%,50,4,Unsolved
62.55%,50,4,Unsolved
68.38%,60,3,Unsolved
59.71%,40,2,Unsolved
61.83%,60,3,Unsolved
80.75%,45,2,Unsolved
74.23%,60,3,Unsolved
45.42%,40,2,Unsolved
70.08%,70,5,Unsolved
58.45%,50,4,Unsolved
83.45%,80,4,Unsolved
68.08%,80,4,Unsolved
58.87%,60,3,Unsolved
60.54%,40,4,Unsolved
76.49%,50,2,Unsolved
50.95%,50,3,Unsolved
78.02%,60,3,Unsolved
58.24%,50,4,Unsolved
82.49%,50,4,Unsolved
64.14%,40,4,Unsolved
54.93%,40,4,Unsolved
69.37%,60,4,Unsolved
